  
       XFOIL         Version 6.99
  
 Calculated polar for: S5010                                           
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2721   0.01790   0.01093  -0.0485   0.8058   1.0000
   0.200   0.2952   0.01882   0.01168  -0.0504   0.8024   1.0000
   0.400   0.3154   0.01966   0.01235  -0.0511   0.7984   1.0000
   0.600   0.3344   0.02052   0.01306  -0.0515   0.7939   1.0000
   0.800   0.3526   0.02146   0.01387  -0.0522   0.7876   1.0000
   1.000   0.3700   0.02235   0.01463  -0.0522   0.7818   1.0000
   1.200   0.3867   0.02329   0.01546  -0.0522   0.7750   1.0000
   1.400   0.4020   0.02431   0.01639  -0.0522   0.7672   1.0000
   1.600   0.4194   0.02516   0.01713  -0.0517   0.7615   1.0000
   1.800   0.4329   0.02628   0.01817  -0.0516   0.7522   1.0000
   2.000   0.4463   0.02738   0.01921  -0.0512   0.7435   1.0000
   2.200   0.4622   0.02837   0.02011  -0.0506   0.7361   1.0000
   2.400   0.4768   0.02944   0.02112  -0.0501   0.7276   1.0000
   2.600   0.4884   0.03068   0.02232  -0.0497   0.7177   1.0000
   2.800   0.5002   0.03193   0.02352  -0.0491   0.7078   1.0000
   3.000   0.5130   0.03316   0.02471  -0.0485   0.6984   1.0000
   3.200   0.5296   0.03423   0.02572  -0.0478   0.6901   1.0000
   3.600   0.5538   0.03690   0.02835  -0.0467   0.6698   1.0000
   3.800   0.5633   0.03843   0.02986  -0.0462   0.6591   1.0000
   4.000   0.5726   0.03999   0.03141  -0.0456   0.6484   1.0000
   4.200   0.5812   0.04167   0.03308  -0.0452   0.6380   1.0000
   4.400   0.5901   0.04337   0.03479  -0.0447   0.6279   1.0000
   4.600   0.6006   0.04503   0.03645  -0.0442   0.6180   1.0000
   4.800   0.6150   0.04655   0.03796  -0.0437   0.6085   1.0000
   5.000   0.6282   0.04817   0.03958  -0.0433   0.5991   1.0000
   5.200   0.6175   0.05110   0.04253  -0.0432   0.5904   1.0000
   5.400   0.4801   0.06029   0.05200  -0.0458   0.7066   1.0000
   5.600   0.4913   0.06228   0.05397  -0.0458   0.6950   1.0000
   5.800   0.5017   0.06430   0.05598  -0.0458   0.6836   1.0000
   6.000   0.5117   0.06636   0.05804  -0.0458   0.6723   1.0000
   6.200   0.5219   0.06847   0.06014  -0.0458   0.6608   1.0000
   6.400   0.5321   0.07063   0.06230  -0.0459   0.6490   1.0000
   6.800   0.5502   0.07500   0.06667  -0.0458   0.6264   1.0000
