XFOIL         Version 6.99

 Calculated polar for: Optimized_Airfoil

 1 1 Reynolds number fixed          Mach number fixed 

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000

   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1279   0.01104   0.00271  -0.0017   0.3650   0.9970
   0.200   0.1488   0.01139   0.00274  -0.0015   0.3650   0.9970
   0.400   0.1699   0.01173   0.00279  -0.0014   0.3650   0.9970
   0.600   0.1908   0.01205   0.00285  -0.0012   0.3650   0.9970
   0.800   0.2119   0.01236   0.00292  -0.0010   0.3650   0.9970
   1.000   0.2332   0.01267   0.00300  -0.0009   0.3650   0.9970
   1.200   0.2544   0.01297   0.00309  -0.0007   0.3650   0.9970
   1.400   0.2758   0.01327   0.00320  -0.0006   0.3650   0.9970
   1.600   0.2973   0.01357   0.00333  -0.0005   0.3650   0.9970
   1.800   0.3187   0.01387   0.00347  -0.0004   0.3650   0.9970
   2.000   0.3402   0.01417   0.00363  -0.0003   0.3650   0.9970
   2.200   0.3617   0.01447   0.00380  -0.0003   0.3650   0.9970
   2.400   0.3833   0.01478   0.00400  -0.0002   0.3650   0.9970
   2.600   0.4048   0.01509   0.00422  -0.0001   0.3650   0.9970
   2.800   0.4263   0.01541   0.00445   0.0000   0.3650   0.9970
   3.000   0.4477   0.01573   0.00470   0.0000   0.3650   0.9970
   3.200   0.4691   0.01607   0.00497   0.0001   0.3650   0.9970
   3.400   0.4905   0.01642   0.00529   0.0002   0.3650   0.9970
   3.600   0.5118   0.01678   0.00561   0.0003   0.3650   0.9970
   3.800   0.5332   0.01715   0.00596   0.0003   0.3650   0.9970
   4.000   0.5544   0.01755   0.00634   0.0004   0.3650   0.9970
   4.200   0.5756   0.01797   0.00678   0.0005   0.3650   0.9970
   4.400   0.5968   0.01842   0.00723   0.0006   0.3650   0.9970
   4.600   0.6179   0.01890   0.00773   0.0
