  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0021   0.00460   0.00094   0.0219   0.5699   0.8843
   0.200   0.1388   0.01193   0.00575  -0.0062   0.7766   1.0000
   0.400   0.1690   0.01274   0.00629  -0.0091   0.7835   1.0000
   0.600   0.1984   0.01352   0.00683  -0.0118   0.7861   1.0000
   0.800   0.2249   0.01425   0.00735  -0.0136   0.7854   1.0000
   1.000   0.2510   0.01500   0.00793  -0.0155   0.7821   1.0000
   1.200   0.2746   0.01571   0.00849  -0.0166   0.7764   1.0000
   1.400   0.2967   0.01643   0.00907  -0.0173   0.7691   1.0000
   1.600   0.3160   0.01708   0.00959  -0.0169   0.7609   1.0000
   1.800   0.3359   0.01778   0.01019  -0.0168   0.7508   1.0000
   2.000   0.3552   0.01850   0.01080  -0.0165   0.7395   1.0000
   2.200   0.3734   0.01919   0.01139  -0.0158   0.7274   1.0000
   2.400   0.3930   0.01999   0.01213  -0.0157   0.7127   1.0000
   2.600   0.4110   0.02073   0.01280  -0.0150   0.6976   1.0000
