  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1489   0.01279   0.00627  -0.0053   0.6829   1.0000
   0.200   0.1705   0.01344   0.00667  -0.0058   0.6812   1.0000
   0.400   0.1927   0.01413   0.00715  -0.0066   0.6782   1.0000
   0.600   0.2156   0.01485   0.00769  -0.0075   0.6738   1.0000
   0.800   0.2367   0.01554   0.00817  -0.0079   0.6698   1.0000
   1.000   0.2598   0.01635   0.00884  -0.0090   0.6644   1.0000
   1.200   0.2815   0.01712   0.00944  -0.0095   0.6592   1.0000
   1.400   0.3040   0.01799   0.01017  -0.0104   0.6534   1.0000
   1.600   0.3258   0.01885   0.01089  -0.0111   0.6477   1.0000
   1.800   0.3484   0.01985   0.01179  -0.0122   0.6415   1.0000
   2.000   0.3698   0.02076   0.01259  -0.0128   0.6357   1.0000
   2.200   0.3927   0.02195   0.01371  -0.0143   0.6293   1.0000
   2.400   0.4137   0.02297   0.01463  -0.0148   0.6239   1.0000
   2.600   0.4364   0.02436   0.01600  -0.0167   0.6173   1.0000
   2.800   0.4571   0.02552   0.01709  -0.0173   0.6122   1.0000
