  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2095   0.01176   0.00531  -0.0268   0.9213   1.0000
   0.200   0.2280   0.01217   0.00552  -0.0266   0.9041   1.0000
   0.400   0.2429   0.01256   0.00574  -0.0255   0.8854   1.0000
   0.600   0.2547   0.01292   0.00597  -0.0235   0.8667   1.0000
   0.800   0.2663   0.01330   0.00620  -0.0214   0.8479   1.0000
   1.000   0.2791   0.01371   0.00648  -0.0196   0.8293   1.0000
   1.200   0.2916   0.01411   0.00674  -0.0176   0.8118   1.0000
   1.400   0.3054   0.01456   0.00705  -0.0159   0.7938   1.0000
   1.600   0.3206   0.01505   0.00741  -0.0145   0.7757   1.0000
   1.800   0.3354   0.01551   0.00773  -0.0128   0.7594   1.0000
   2.000   0.3524   0.01609   0.00818  -0.0120   0.7411   1.0000
   2.200   0.3687   0.01663   0.00857  -0.0106   0.7254   1.0000
   2.400   0.3870   0.01728   0.00913  -0.0101   0.7079   1.0000
