  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0934   0.01163   0.00550   0.0135   0.6486   1.0000
   0.200   0.1163   0.01228   0.00589   0.0124   0.6509   1.0000
   0.400   0.1394   0.01294   0.00631   0.0112   0.6514   1.0000
   0.600   0.1606   0.01355   0.00670   0.0106   0.6498   1.0000
   0.800   0.1811   0.01417   0.00712   0.0101   0.6473   1.0000
   1.000   0.2037   0.01488   0.00768   0.0090   0.6426   1.0000
   1.200   0.2239   0.01552   0.00815   0.0087   0.6382   1.0000
   1.400   0.2455   0.01628   0.00878   0.0078   0.6329   1.0000
   1.600   0.2671   0.01705   0.00940   0.0071   0.6275   1.0000
   1.800   0.2888   0.01789   0.01012   0.0064   0.6218   1.0000
   2.000   0.3109   0.01876   0.01087   0.0055   0.6158   1.0000
   2.200   0.3340   0.01978   0.01179   0.0043   0.6097   1.0000
   2.400   0.3559   0.02072   0.01264   0.0036   0.6038   1.0000
   2.600   0.3800   0.02196   0.01383   0.0018   0.5971   1.0000
   2.800   0.4018   0.02298   0.01475   0.0011   0.5916   1.0000
   3.000   0.4262   0.02448   0.01625  -0.0012   0.5845   1.0000
   3.200   0.4472   0.02558   0.01727  -0.0017   0.5795   1.0000
