  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1765   0.01285   0.00666  -0.0085   0.7899   1.0000
   0.200   0.1931   0.01316   0.00676  -0.0079   0.7749   1.0000
   0.400   0.2079   0.01345   0.00684  -0.0067   0.7594   1.0000
   0.600   0.2240   0.01379   0.00701  -0.0059   0.7399   1.0000
   0.800   0.2388   0.01413   0.00715  -0.0047   0.7211   1.0000
   1.000   0.2533   0.01446   0.00728  -0.0033   0.7021   1.0000
   1.200   0.2689   0.01486   0.00750  -0.0023   0.6819   1.0000
   1.400   0.2836   0.01523   0.00766  -0.0008   0.6653   1.0000
   1.600   0.3007   0.01572   0.00800  -0.0002   0.6460   1.0000
   1.800   0.3174   0.01619   0.00827   0.0008   0.6309   1.0000
   2.000   0.3359   0.01678   0.00871   0.0012   0.6154   1.0000
   2.200   0.3551   0.01742   0.00921   0.0015   0.6011   1.0000
   2.400   0.3747   0.01810   0.00975   0.0017   0.5884   1.0000
