  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1130   0.01056   0.00460  -0.0092   0.7954   1.0000
   0.200   0.1454   0.01138   0.00511  -0.0128   0.8054   1.0000
   0.400   0.1736   0.01210   0.00556  -0.0152   0.8099   1.0000
   0.600   0.2019   0.01282   0.00604  -0.0177   0.8108   1.0000
   0.800   0.2284   0.01352   0.00655  -0.0197   0.8088   1.0000
   1.000   0.2540   0.01423   0.00709  -0.0214   0.8043   1.0000
   1.200   0.2749   0.01487   0.00756  -0.0217   0.7988   1.0000
   1.400   0.2985   0.01560   0.00817  -0.0229   0.7910   1.0000
   1.600   0.3199   0.01632   0.00878  -0.0234   0.7826   1.0000
   1.800   0.3402   0.01704   0.00939  -0.0235   0.7737   1.0000
   2.000   0.3597   0.01776   0.01002  -0.0233   0.7642   1.0000
   2.200   0.3791   0.01850   0.01067  -0.0231   0.7541   1.0000
   2.400   0.3988   0.01929   0.01140  -0.0231   0.7429   1.0000
   2.600   0.4184   0.02013   0.01219  -0.0230   0.7312   1.0000
   2.800   0.4382   0.02104   0.01309  -0.0232   0.7186   1.0000
   3.000   0.4578   0.02199   0.01402  -0.0233   0.7057   1.0000
   3.200   0.4769   0.02296   0.01497  -0.0233   0.6928   1.0000
