  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0063   0.00593   0.00165   0.0232   0.5556   0.9334
   0.200   0.1424   0.01356   0.00695  -0.0035   0.6981   1.0000
   0.400   0.1707   0.01448   0.00768  -0.0064   0.7025   1.0000
   0.600   0.1963   0.01534   0.00834  -0.0084   0.7050   1.0000
   0.800   0.2220   0.01621   0.00903  -0.0104   0.7063   1.0000
   1.000   0.2471   0.01711   0.00977  -0.0124   0.7060   1.0000
   1.200   0.2719   0.01805   0.01057  -0.0143   0.7046   1.0000
   1.400   0.2962   0.01901   0.01139  -0.0162   0.7024   1.0000
   1.600   0.3185   0.01994   0.01219  -0.0173   0.6997   1.0000
   1.800   0.3419   0.02102   0.01317  -0.0191   0.6961   1.0000
   2.000   0.3661   0.02219   0.01428  -0.0213   0.6917   1.0000
   2.200   0.3858   0.02317   0.01517  -0.0216   0.6876   1.0000
