  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1818   0.01133   0.00526  -0.0153   0.8494   1.0000
   0.200   0.2035   0.01184   0.00550  -0.0159   0.8422   1.0000
   0.400   0.2230   0.01233   0.00576  -0.0158   0.8328   1.0000
   0.600   0.2420   0.01283   0.00604  -0.0156   0.8220   1.0000
   0.800   0.2608   0.01335   0.00636  -0.0153   0.8100   1.0000
   1.000   0.2788   0.01387   0.00669  -0.0147   0.7967   1.0000
   1.200   0.2965   0.01441   0.00705  -0.0139   0.7832   1.0000
   1.400   0.3133   0.01494   0.00741  -0.0128   0.7696   1.0000
   1.600   0.3321   0.01555   0.00787  -0.0123   0.7537   1.0000
