  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1634   0.01240   0.00590  -0.0101   0.7749   1.0000
   0.200   0.1861   0.01294   0.00620  -0.0112   0.7726   1.0000
   0.400   0.2081   0.01351   0.00653  -0.0121   0.7684   1.0000
   0.600   0.2298   0.01409   0.00691  -0.0129   0.7625   1.0000
   0.800   0.2507   0.01469   0.00733  -0.0135   0.7557   1.0000
   1.000   0.2697   0.01527   0.00771  -0.0134   0.7489   1.0000
   1.200   0.2909   0.01594   0.00824  -0.0141   0.7402   1.0000
   1.400   0.3116   0.01665   0.00881  -0.0147   0.7314   1.0000
   1.600   0.3316   0.01737   0.00940  -0.0149   0.7227   1.0000
   1.800   0.3510   0.01810   0.01000  -0.0150   0.7140   1.0000
   2.000   0.3699   0.01882   0.01060  -0.0148   0.7055   1.0000
