  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2371   0.01289   0.00633  -0.0342   0.9176   1.0000
   0.200   0.2564   0.01336   0.00662  -0.0344   0.9082   1.0000
   0.400   0.2735   0.01383   0.00695  -0.0339   0.8964   1.0000
   0.600   0.2889   0.01431   0.00730  -0.0328   0.8831   1.0000
   0.800   0.3025   0.01476   0.00764  -0.0311   0.8686   1.0000
   1.000   0.3152   0.01524   0.00801  -0.0292   0.8526   1.0000
   1.200   0.3269   0.01568   0.00834  -0.0269   0.8357   1.0000
   1.400   0.3388   0.01614   0.00870  -0.0245   0.8174   1.0000
   1.600   0.3497   0.01653   0.00898  -0.0215   0.8000   1.0000
   1.800   0.3620   0.01697   0.00931  -0.0191   0.7793   1.0000
   2.000   0.3746   0.01739   0.00964  -0.0166   0.7580   1.0000
   2.200   0.3875   0.01779   0.00993  -0.0141   0.7362   1.0000
