  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1329   0.01229   0.00618  -0.0072   0.7780   1.0000
   0.200   0.1586   0.01288   0.00653  -0.0095   0.7836   1.0000
   0.400   0.1840   0.01347   0.00693  -0.0118   0.7858   1.0000
   0.600   0.2073   0.01406   0.00735  -0.0134   0.7853   1.0000
   0.800   0.2307   0.01470   0.00784  -0.0151   0.7826   1.0000
   1.000   0.2529   0.01535   0.00836  -0.0164   0.7781   1.0000
   1.200   0.2710   0.01595   0.00881  -0.0163   0.7727   1.0000
   1.400   0.2926   0.01667   0.00943  -0.0174   0.7653   1.0000
   1.600   0.3120   0.01739   0.01003  -0.0177   0.7573   1.0000
   1.800   0.3302   0.01809   0.01062  -0.0175   0.7489   1.0000
   2.000   0.3482   0.01880   0.01123  -0.0171   0.7394   1.0000
