  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1494   0.01172   0.00552  -0.0089   0.8184   1.0000
   0.200   0.1795   0.01237   0.00587  -0.0121   0.8245   1.0000
   0.400   0.2063   0.01298   0.00622  -0.0144   0.8259   1.0000
   0.600   0.2329   0.01362   0.00662  -0.0167   0.8249   1.0000
   0.800   0.2581   0.01426   0.00706  -0.0187   0.8213   1.0000
   1.000   0.2786   0.01486   0.00748  -0.0191   0.8160   1.0000
   1.200   0.3011   0.01554   0.00801  -0.0203   0.8092   1.0000
   1.400   0.3206   0.01619   0.00852  -0.0205   0.8019   1.0000
   1.600   0.3388   0.01683   0.00904  -0.0202   0.7937   1.0000
   1.800   0.3590   0.01757   0.00970  -0.0207   0.7842   1.0000
   2.000   0.3779   0.01832   0.01035  -0.0208   0.7741   1.0000
   2.200   0.3963   0.01909   0.01104  -0.0207   0.7636   1.0000
   2.400   0.4143   0.01988   0.01176  -0.0204   0.7526   1.0000
   2.600   0.4321   0.02069   0.01251  -0.0200   0.7413   1.0000
   2.800   0.4496   0.02152   0.01328  -0.0195   0.7297   1.0000
   3.000   0.4672   0.02239   0.01416  -0.0190   0.7177   1.0000
   3.200   0.4856   0.02344   0.01521  -0.0193   0.7040   1.0000
   3.400   0.5033   0.02445   0.01621  -0.0191   0.6910   1.0000
   3.600   0.5208   0.02543   0.01719  -0.0187   0.6783   1.0000
   3.800   0.5382   0.02642   0.01819  -0.0181   0.6660   1.0000
   4.000   0.5555   0.02742   0.01919  -0.0174   0.6539   1.0000
   4.200   0.5731   0.02889   0.02081  -0.0182   0.6395   1.0000
   4.400   0.5903   0.03022   0.02221  -0.0183   0.6262   1.0000
   4.600   0.6073   0.03153   0.02358  -0.0182   0.6136   1.0000
   4.800   0.6242   0.03281   0.02494  -0.0178   0.6014   1.0000
   5.000   0.6412   0.03403   0.02625  -0.0172   0.5893   1.0000
   5.200   0.6556   0.03615   0.02850  -0.0184   0.5751   1.0000
   5.400   0.6703   0.03798   0.03051  -0.0187   0.5615   1.0000
   5.600   0.6864   0.03929   0.03193  -0.0179   0.5479   1.0000
   5.800   0.7010   0.04082   0.03360  -0.0172   0.5330   1.0000
   6.000   0.7178   0.04139   0.03430  -0.0149   0.5149   1.0000
   6.200   0.7361   0.04054   0.03358  -0.0103   0.4903   1.0000
   6.400   0.7595   0.03435   0.02735   0.0017   0.4504   1.0000
   6.600   0.7773   0.02984   0.02259   0.0103   0.3994   1.0000
   6.800   0.7877   0.02700   0.01852   0.0186   0.2715   1.0000
   7.000   0.8033   0.02918   0.02015   0.0207   0.2093   1.0000
   7.200   0.8222   0.03177   0.02273   0.0217   0.1859   1.0000
   7.400   0.8400   0.03414   0.02513   0.0224   0.1685   1.0000
   7.600   0.8592   0.03720   0.02829   0.0230   0.1610   1.0000
   7.800   0.8748   0.04126   0.03291   0.0231   0.1595   1.0000
   8.000   0.8879   0.04571   0.03784   0.0229   0.1602   1.0000
   8.200   0.8863   0.05187   0.04494   0.0206   0.1654   1.0000
   8.400   0.8891   0.05748   0.05087   0.0191   0.1699   1.0000
   8.600   0.8644   0.06514   0.05902   0.0134   0.1770   1.0000
   8.800   0.7852   0.06680   0.06115   0.0102   0.1783   1.0000
   9.200   0.6938   0.10440   0.09784  -0.0333   0.3600   1.0000
   9.400   0.7027   0.10852   0.10199  -0.0336   0.3536   1.0000
   9.600   0.6958   0.11110   0.10453  -0.0345   0.3462   1.0000
