  
       XFOIL         Version 6.99
  
 Calculated polar for: Optimized_Airfoil                               
  
 2 2 Reynolds number ~ 1/sqrt(CL)   Mach number ~ 1/sqrt(CL)  
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1993   0.01098   0.00452  -0.0286   0.9356   1.0000
   0.200   0.2228   0.01150   0.00478  -0.0299   0.9289   1.0000
   0.400   0.2475   0.01203   0.00506  -0.0313   0.9227   1.0000
   0.600   0.2698   0.01258   0.00540  -0.0321   0.9129   1.0000
   0.800   0.2908   0.01312   0.00576  -0.0325   0.9021   1.0000
   1.000   0.3100   0.01367   0.00616  -0.0324   0.8899   1.0000
   1.200   0.3278   0.01424   0.00660  -0.0319   0.8761   1.0000
   1.400   0.3452   0.01481   0.00705  -0.0312   0.8623   1.0000
   1.600   0.3613   0.01537   0.00751  -0.0299   0.8487   1.0000
   1.800   0.3777   0.01600   0.00805  -0.0291   0.8329   1.0000
   2.000   0.3934   0.01659   0.00858  -0.0277   0.8182   1.0000
   2.200   0.4094   0.01724   0.00916  -0.0266   0.8021   1.0000
   2.400   0.4253   0.01787   0.00972  -0.0252   0.7867   1.0000
   2.600   0.4419   0.01857   0.01037  -0.0242   0.7702   1.0000
   2.800   0.4582   0.01924   0.01099  -0.0229   0.7545   1.0000
   3.000   0.4755   0.02003   0.01175  -0.0221   0.7378   1.0000
   3.200   0.4924   0.02074   0.01244  -0.0209   0.7224   1.0000
   3.400   0.5104   0.02164   0.01345  -0.0204   0.7056   1.0000
   3.600   0.5281   0.02245   0.01426  -0.0195   0.6908   1.0000
   3.800   0.5466   0.02345   0.01532  -0.0193   0.6751   1.0000
   4.000   0.5651   0.02446   0.01638  -0.0190   0.6604   1.0000
   4.200   0.5834   0.02538   0.01736  -0.0182   0.6473   1.0000
   4.400   0.6024   0.02677   0.01888  -0.0188   0.6322   1.0000
   4.600   0.6210   0.02807   0.02037  -0.0190   0.6188   1.0000
   4.800   0.6395   0.02936   0.02180  -0.0189   0.6063   1.0000
   5.000   0.6578   0.03070   0.02330  -0.0187   0.5944   1.0000
   5.200   0.6753   0.03246   0.02526  -0.0194   0.5814   1.0000
   5.400   0.6917   0.03442   0.02745  -0.0202   0.5677   1.0000
   5.600   0.7072   0.03222   0.02531  -0.0126   0.5364   1.0000
   5.800   0.7159   0.02532   0.01793   0.0021   0.4761   1.0000
   6.000   0.7213   0.02128   0.01343   0.0110   0.3413   1.0000
   6.200   0.7308   0.02426   0.01491   0.0139   0.1861   1.0000
   6.400   0.7307   0.01814   0.00887   0.0156   0.1523   1.0000
   6.600   0.7507   0.02047   0.01114   0.0168   0.1408   1.0000
   6.800   0.7713   0.02324   0.01415   0.0178   0.1368   1.0000
   7.000   0.7904   0.02647   0.01782   0.0186   0.1366   1.0000
   7.200   0.8074   0.03028   0.02202   0.0192   0.1383   1.0000
   7.400   0.8178   0.03512   0.02771   0.0190   0.1422   1.0000
   7.600   0.8240   0.04078   0.03397   0.0183   0.1465   1.0000
   7.800   0.8303   0.04594   0.03942   0.0179   0.1486   1.0000
   8.000   0.8214   0.05340   0.04743   0.0153   0.1587   1.0000
   8.200   0.8598   0.06606   0.05999   0.0112   0.1706   1.0000
   8.800   0.7140   0.10057   0.09435  -0.0337   0.3319   1.0000
   9.000   0.6355   0.10170   0.09585  -0.0281   0.3237   1.0000
   9.200   0.6413   0.10575   0.09989  -0.0282   0.3163   1.0000
   9.400   0.6518   0.10979   0.10395  -0.0279   0.3077   1.0000
   9.600   0.6404   0.11247   0.10659  -0.0290   0.2999   1.0000
   9.800   0.7256   0.11827   0.11196  -0.0373   0.3085   1.0000
  10.000   0.7188   0.12086   0.11452  -0.0383   0.3018   1.0000
  10.200   0.7280   0.12484   0.11859  -0.0387   0.2982   1.0000
  10.400   0.7237   0.12755   0.12116  -0.0399   0.2913   1.0000
  10.600   0.7340   0.13176   0.12548  -0.0401   0.2873   1.0000
  10.800   0.7285   0.13415   0.12782  -0.0414   0.2807   1.0000
  11.000   0.7409   0.13869   0.13237  -0.0415   0.2764   1.0000
  11.200   0.7344   0.14073   0.13438  -0.0429   0.2697   1.0000
  11.400   0.7551   0.14672   0.14040  -0.0424   0.2650   1.0000
  11.600   0.7427   0.14739   0.14101  -0.0443   0.2576   1.0000
  11.800   0.7455   0.15061   0.14421  -0.0451   0.2511   1.0000
  12.000   0.7625   0.15592   0.14953  -0.0447   0.2436   1.0000
